boostclock,brand,chipmake,coreclock,gpu,memoryclock,memoryinterface,memorysize,memorytype,model,price,productname,rank,rating,url
,,,,,,,,,,698.97,MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI GAMING X 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,405,Rating + 4,https://www.newegg.com/msi-geforce-gtx-1660-ti-gtx-1660-ti-gaming-x-6g/p/1FT-0009-002A1
,,,,,,,,,,698.97,"GIGABYTE AORUS Radeon RX 5700 XT 8G Graphics Card, PCIe 4.0, 8GB 256-Bit GDDR6, GV-R57XTAORUS-8GD Video Card",406,Rating + 4,https://www.newegg.com/gigabyte-radeon-rx-5700-xt-gv-r57xtaorus-8gd/p/N82E16814932235
,,,,,,,,,,"2,352.79",Dell Nvidia Tesla M2090 Computing Processor 6GB GDDR5 Processor Video Graphic Card With Tray M7CJ1 0M7CJ1,408,Rating + 4,https://www.newegg.com/dell-nvidia-tesla-m2090/p/1FT-0004-00388
,,,,,,,,,,48.55,"Visiontek Radeon HD 7750 SFF 1GB DDR3 5M VHDCI (4 x DVI-D, Mini DP), 900669",410,Rating + 3,https://www.newegg.com/visiontek-radeon-hd-7750-900669/p/N82E16814129296
,,,,,,,,,,"2,352.79",Alphacool Eisblock Aurora Plexi GPX-A AMD Radeon 5700 XT MSI Gaming X,407,Rating + 4,https://www.newegg.com/p/2BJ-008H-000U0
,,,,,,,,,,119.97,NEW ATI Rage XL 8MB PCI VGA Desktop PC Video Graphics Card US seller,404,Rating + 4,https://www.newegg.com/p/27N-003U-00023
,,,,,,,,,,119.97,New Dell Inspiron 1720 Series Nvidia GeForce GS 8400M 128MB DDR2 Video Card With Heatsink YY636 N43-02 FP363 CN-0FP363,403,Rating + 4,https://www.newegg.com/dell-nvidia-geforce-gs-8400m/p/1FT-0001-000N3
,,,,,,,,,,79.99,MSI Radeon RX 580 GAMING X 8GB 8G 256-bit GDDR5 PCI-E Video Graphics Card(USE.D - NEW )-Graphics card only,398,Rating + 4,https://www.newegg.com/p/27N-0023-001B6
,,,,,,,,,,809.90,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,399,Rating + 4,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-4gt-oc/p/N82E16814137055
,,,,,,,,,,809.90,Asus Phoenix GeForce RTX 2060 GDDR6 Graphics Card - 6 GB,400,Rating + 4,https://www.newegg.com/p/1FT-000Y-004F8
,,,,,,,,,,53.00,PNY GeForce GT 1030 2GB (VCGGT10302PB),395,Rating + 4,https://www.newegg.com/pny-geforce-gt-1030-vcggt10302pb/p/N82E16814133724
,,,,,,,,,,79.99,GIGABYTE AORUS GeForce RTX 2080 Ti DirectX 12 GV-N208TAORUS-11GC 11GB 352-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,397,Rating + 4,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208taorus-11gc/p/N82E16814932077
,,,,,,,,,,919.99,MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,393,Rating + 3,https://www.newegg.com/msi-geforce-gtx-1660-gtx-1660-ventus-xs-6g-oc/p/N82E16814137400
,,,,,,,,,,63.00,Yeston RX550--4G D5 Graphics Cards Radeon Chill 4GB Memory GDDR5 128Bit 6000MHz DP1.4HDR+HDMI2.0b+DVI-D Small Size GPU,402,Rating + 5,https://www.newegg.com/p/1B4-095C-00001
